Nitrogen Oxide,Ozone,PM2.5,PM10
164.16135,1.19742,13.519,14.158
193.58899,1.24731,13.168,13.519
151.14105,1.24731,12.696,13.168
89.82248,1.54667,10.092,12.696
90.21836,1.89592,9.116,10.092
91.71394,2.39484,7.432,9.116
72.18349,9.13033,6.373,7.432
54.06064,21.00474,6.917,6.373
62.55023,20.95485,6.601,6.917
55.51223,22.20216,7.047,6.601
52.52108,22.35184,7.127,7.047
48.16631,27.04174,6.307,7.127
70.11608,11.27571,9.788,6.307
132.05048,4.83957,8.988,9.788
106.84564,2.6443,9.601,8.988
68.31259,3.94151,9.979,9.601
47.28656,5.88732,11.377,9.979
51.68531,6.33635,11.686,11.377
28.94378,19.35829,10.828,11.686
21.42191,27.09163,8.29,10.828
13.81208,34.6254,7.276,8.29
18.12285,32.52991,7.712,7.276
38.4744,21.28747,7.929,7.712
199.12759,1.84602,30.446,7.929
198.51081,2.19527,30.613,30.446
335.63753,2.19527,31.969,30.613
353.11922,2.29506,30.79,31.969
377.07424,2.24516,24.005,30.79
377.55906,2.19527,20.328,24.005
293.23119,1.9957,18.226,20.328
180.45681,3.14323,20.045,18.226
77.76608,12.27356,18.653,20.045
60.15195,24.99614,17.422,18.653
79.4835,22.90066,19.356,17.422
101.67806,15.81592,22.955,19.356
103.98199,13.37119,0,22.955
151.56945,8.03269,29.243,0
345.94161,1.9957,18.512,29.243
411.95059,1.3471,13.932,18.512
277.64288,0.94796,11.524,13.932
232.02211,1.04774,9.854,11.524
180.14842,0.99785,10.073,9.854
154.43151,1.14753,10.137,10.073
124.88386,1.09764,10.538,10.137
122.85804,1.04774,12.219,10.538
147.19556,1.19742,14.281,12.219
212.66107,1.19742,15.172,14.281
536.43856,2.59441,33.969,15.172
753.66413,3.24301,37.861,33.969
921.57064,3.49248,39.929,37.861
890.39402,2.84387,39.694,39.929
708.48419,5.18882,39.649,39.694
472.01408,2.6443,25.981,39.649
377.55858,2.54452,24.498,25.981
288.21136,2.44473,24.179,24.498
201.85768,4.39054,16.212,24.179
110.74905,17.26281,10.922,16.212
95.07229,25.44518,8.278,10.922
167.81853,14.16947,12.906,8.278
269.76052,6.6357,21.135,12.906
375.79764,3.74194,28.264,21.135
826.85073,2.34495,37.026,28.264
1232.76833,2.34495,38.866,37.026
926.32655,2.29506,35.149,38.866
688.35991,2.04559,33.236,35.149
531.37426,1.89592,31.208,33.236
484.7848,1.74624,30.844,31.208
371.79048,1.59656,29.939,30.844
352.81083,1.69635,30.887,29.939
363.14486,1.86265,30.571,30.887
217.18222,1.66308,31.399,30.571
216.21338,1.49678,25.229,31.399
217.09361,1.64645,27.698,25.229
253.81983,1.9957,31.429,27.698
359.59303,2.09549,30.795,31.429
325.99375,2.54452,55.613,30.795
268.65939,3.24301,54.106,55.613
258.48728,3.14323,52.045,54.106
200.84549,5.43828,99.048,52.045
149.8525,5.68775,34.08,99.048
130.4325,9.03054,22.892,34.08
106.346,14.86797,18.948,22.892
100.40003,18.51012,19.491,18.948
166.14557,10.17807,28.342,19.491
249.85569,4.44043,29.571,28.342
285.96513,2.54452,25.505,29.571
343.95978,1.49678,26.224,25.505
378.39482,1.24731,27.278,26.224
477.91463,1.59656,28.741,27.278
380.68504,1.59656,30.953,28.741
381.78616,1.69635,32.083,30.953
370.20549,1.69635,31.689,32.083
380.06873,1.64645,29.557,31.689
400.60436,1.92918,27.682,29.557
448.98424,2.12875,28.882,27.682
147.95865,1.19742,13.134,28.882
175.39298,1.19742,13.087,13.134
177.37386,1.3471,11.993,13.087
198.02647,1.74624,13.05,11.993
204.54427,1.74624,13.212,13.05
217.84283,1.84602,12.804,13.212
140.73705,1.94581,10.901,12.804
119.24772,5.43828,12.807,10.901
114.13896,12.12388,14.592,12.807
98.6391,19.55786,14.868,14.592
109.384,18.85937,17.576,14.868
123.25489,17.06324,19.446,17.576
154.03562,11.07614,24.741,19.446
197.10225,6.6856,26.267,24.741
260.6006,3.29291,24.465,26.267
257.73902,1.64645,19.663,24.465
249.32784,0.89807,19.024,19.663
211.45795,0.94796,18.347,19.024
154.29954,0.89807,17.715,18.347
158.87998,1.04774,17.979,17.715
141.08895,1.24731,19.66,17.979
133.64741,1.59656,21.717,19.66
101.80939,1.1309,21.385,21.717
144.90566,1.06437,22.309,21.385
225.50527,1.89592,50.17,22.309
197.85052,2.19527,49.418,50.17
217.44695,2.39484,44.859,49.418
165.52879,2.54452,43.495,44.859
131.79755,2.89377,38.439,43.495
182.83452,3.09334,35.986,38.439
256.28552,2.14538,27.821,35.986
77.98697,15.36689,21.288,27.821
99.87218,17.66195,18.436,21.288
72.79023,29.68604,18.561,18.436
81.72925,28.83787,19.66,18.561
88.20307,26.54281,19.047,19.66
156.32584,14.6684,22.385,19.047
207.7587,7.13463,24.993,22.385
224.88848,4.49033,23.66,24.993
223.34701,2.29506,18.337,23.66
177.94617,0.89807,16.125,18.337
134.5286,0.94796,14.597,16.125
138.79873,1.19742,13.21,14.597
123.95964,1.04774,13.476,13.21
128.14228,0.99785,14.087,13.476
112.73088,1.14753,14.118,14.087
119.54145,1.06437,14.064,14.118
134.74774,1.1309,13.226,14.064
749.17311,2.59441,81.503,13.226
817.82325,2.6443,80.441,81.503
931.34686,2.6942,80.425,80.441
949.62128,2.6942,72.418,80.425
780.61413,2.49463,67.713,72.418
585.44972,2.6942,68.08,67.713
403.84733,2.24516,61.33,68.08
174.99662,2.54452,52.404,61.33
96.61328,9.28001,47.904,52.404
113.56712,14.41893,46.156,47.904
130.21256,13.22151,46.585,46.156
179.09128,10.02839,51.55,46.585
463.25197,5.9871,66.708,51.55
427.97925,3.24301,60.767,66.708
513.98007,2.24516,56.894,60.767
592.49537,1.79613,51.083,56.894
491.87444,1.64645,50.819,51.083
435.28835,1.59656,50.87,50.819
427.45044,1.54667,50.583,50.87
365.84547,1.49678,48.712,50.583
293.89148,1.59656,47.302,48.712
249.23987,1.84602,49.972,47.302
238.14322,1.92918,53.953,49.972
203.67743,2.19527,53.328,53.953
611.25413,2.49463,88.071,53.328
628.91224,2.44473,86.812,88.071
630.01336,2.49463,90.434,86.812
638.55602,2.49463,87.967,90.434
630.58568,2.39484,85.147,87.967
522.08238,2.34495,78.283,85.147
493.23949,2.09549,77.88,78.283
510.98605,1.84602,81.116,77.88
410.1012,2.6942,79.394,81.116
425.73302,4.6899,78.927,79.394
308.73201,3.29291,62.927,78.927
292.74685,2.34495,62.76,62.927
264.56378,2.39484,65.68,62.76
249.68022,2.04559,62.562,65.68
332.68655,1.84602,66.154,62.562
389.27216,1.64645,62.392,66.154
388.87628,1.84602,64.189,62.392
298.38299,1.74624,69.253,64.189
329.7805,1.69635,77.135,69.253
405.25636,1.89592,80.562,77.135
491.78599,1.9957,81.661,80.562
570.52122,2.19527,86.489,81.661
575.2188,2.39484,85.599,86.489
630.11584,2.32832,84.694,85.599
696.77108,2.24516,33.276,84.694
522.96308,2.24516,28.429,33.276
536.43808,2.09549,29.543,28.429
582.71915,1.94581,26.96,29.543
706.9867,2.04559,23.543,26.96
570.82961,2.09549,20.526,23.543
457.39446,1.69635,14.939,20.526
196.39749,3.74194,14.078,14.939
77.54662,19.35829,14.892,14.078
88.24658,20.80517,18.762,14.892
162.97464,12.07399,28.321,18.762
290.80949,5.68775,35.861,28.321
349.81633,4.44043,32.352,35.861
523.09553,2.34495,31.944,32.352
684.88107,1.49678,34.203,31.944
625.4334,1.49678,32.854,34.203
685.40988,1.44688,40.429,32.854
606.98256,1.54667,44.17,40.429
446.91491,1.59656,46.639,44.17
347.4826,1.59656,43.903,46.639
332.11423,1.84602,45.453,43.903
390.59274,1.9957,63.484,45.453
475.58138,2.32832,80.241,63.484
531.59404,2.06222,83.538,80.241
