Ozone,Nitrogen Oxide,PM2.5,PM10
45.76991,43.80562,2.062,3.425
55.73889,41.16131,1.772,2.914
44.23683,48.74497,1.391,2.968
15.45791,80.32693,0.833,1.654
21.8943,68.15316,0.795,1.5
22.34062,63.36348,0.979,2.314
18.98756,48.74497,1.07,1.785
17.17,50.99014,1.999,2.858
17.60783,53.73422,2.23,3.531
18.10393,49.8925,1.212,1.766
17.05673,51.2396,0.703,1.027
12.10468,56.92734,0.79,1.231
6.87855,63.56305,0.655,1.006
4.02055,67.40477,1.124,1.469
3.08263,71.79531,2.064,2.963
7.04161,70.99703,6.017,8.738
0,70.31516,7.001,11.24
4.54916,70.24864,7.933,13.08
47.22431,20.90496,5.688,9.65
72.43692,5.63785,5.52,8.534
63.58698,13.17162,6.89,10.913
65.37178,13.07184,6.245,10.669
76.68043,10.77678,5.844,10.487
71.5826,10.47743,7.013,12.585
62.82278,18.6099,6.445,11.458
56.84519,23.69894,5.739,11.69
42.14812,41.16131,3.584,7.467
28.55171,52.88605,3.401,7.449
28.27589,49.84261,5.414,11.853
25.53092,53.2353,5.13,11.024
29.72283,47.39788,4.863,9.872
36.49173,40.11357,5.764,11.095
51.51958,26.29335,6.237,12.195
68.13086,10.87657,8.35,18.178
65.77626,12.6727,7.887,16.97
46.01443,28.53851,7.057,14.193
28.8576,42.85766,7.326,14.883
14.62262,56.27874,7.587,15.46
11.92912,60.96864,7.426,15.385
14.29307,60.86885,7.274,14.795
0,61.99975,7.821,15.535
10.84798,61.33451,8.177,15.175
54.32906,0.59871,20.51,25.668
62.86726,0.6985,19.736,26.498
65.70767,0.89807,20.276,29.718
78.57717,1.09764,21.42,32.108
70.09035,0.6985,19.099,27.575
74.80301,1.24731,20.993,30.583
71.77225,1.04774,17.873,29.115
69.22944,4.64,12.75,23.46
51.381,17.46238,10.107,17.868
41.41507,25.39528,8.723,15.268
27.90644,35.9226,7.299,13.77
25.82254,27.09163,12.321,19.858
28.74775,23.00044,12.861,18.54
48.63449,9.87872,12.894,18.978
59.25257,4.54022,10.955,17.43
83.16249,1.19742,12.031,20.065
79.68571,0.94796,9.091,17.455
70.30754,0.89807,7.348,11.8
59.38329,1.09764,6.499,9.077
46.09198,1.04774,4.551,5.637
53.33759,1.44688,5.029,6.447
41.86096,17.06324,6.6,10.843
0,26.67586,6.842,16.594
35.38024,28.40546,5.95,9.315
6.75438,60.41982,2.212,2.908
21.74517,46.74927,1.787,2.269
20.81293,47.09852,1.692,2.411
25.75631,34.6254,2.267,2.706
49.4519,15.86582,2.956,3.559
46.5887,21.15442,3.041,3.711
41.91538,26.6426,1.941,2.38
38.35283,32.72948,1.516,2.186
37.52651,34.67529,1.908,2.758
33.11535,39.16561,2.736,3.859
28.8331,43.40648,4.054,6.151
29.05494,44.10497,3.973,6.49
32.85547,36.5712,4.331,7.281
37.98176,27.19141,6.532,9.031
37.1991,25.79442,7.964,9.965
51.33954,9.57936,10.62,12.998
50.22667,6.43613,12.618,14.42
41.63918,9.28001,14.413,16.74
40.0416,6.48603,15.889,18.635
41.63322,6.08689,16.943,19.46
48.37567,6.93506,14.55,16.77
56.5172,2.74409,14.623,17.44
0,1.1309,17.307,21.435
52.01303,0.99785,19.592,24.358
3.45966,71.49595,3.294,4.753
25.35658,50.19186,3.089,4.462
22.61041,56.47831,1.728,2.605
